,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
686,,"New Town, Kolkata, West Bengal",,,,Unit
687,,"Patancheru, Hyderabad, Andhra Pradesh",,,,Unit
688,,"Bopal, Ahmedabad, Gujarat",,,,Unit
689,,"CHI 5, Greater Noida, Uttar Pradesh",,,,Unit
690,"USD $89,088","Oragadam, Chennai, Tamil Nadu",3,3,"1,859.00 sq ft",Apartment
691,"USD $90,813","Oragadam, Chennai, Tamil Nadu",3,3,"1,895.00 sq ft",Apartment
692,"USD $68,865","Oragadam, Chennai, Tamil Nadu",2,2,"1,437.00 sq ft",Apartment
693,"USD $243,255","Sector 102, Gurgaon, Haryana",3,3,"1,692.00 sq ft",Apartment
694,"USD $95,414","Oragadam, Chennai, Tamil Nadu",3,3,"1,991.00 sq ft",Apartment
695,"USD $266,258","Sector 102, Gurgaon, Haryana",3,3,"1,852.00 sq ft",Apartment
696,,"Shilaj, Ahmedabad, Gujarat",,,,Unit
697,"USD $108,114","Oragadam, Chennai, Tamil Nadu",3,3,"2,256.00 sq ft",Apartment
698,"USD $95,462","Oragadam, Chennai, Tamil Nadu",3,3,"1,992.00 sq ft",Apartment
699,,"Sector 102, Gurgaon, Haryana",,,,Unit
700,,"Moti Nagar, Hyderabad, Andhra Pradesh",,,,Unit
701,"USD $90,766","Oragadam, Chennai, Tamil Nadu",3,3,"1,894.00 sq ft",Apartment
702,,"Tangra, Kolkata, West Bengal",,,,Unit
703,"USD $81,756","Oragadam, Chennai, Tamil Nadu",2,2,"1,706.00 sq ft",Apartment
704,"USD $92,347","Oragadam, Chennai, Tamil Nadu",3,3,"1,927.00 sq ft",Apartment
705,,"Sector 102, Gurgaon, Haryana",,,,Unit
706,,"Sector 108, Gurgaon, Haryana",,,,Unit
707,"USD $84,488","Oragadam, Chennai, Tamil Nadu",2,2,"1,763.00 sq ft",Apartment
708,"USD $134,375","Oragadam, Chennai, Tamil Nadu",4,4,"2,804.00 sq ft",Apartment
709,,"Serampore, Kolkata, West Bengal",,,,Unit
710,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
711,,"Perungudi, Chennai, Tamil Nadu",,,,Unit
712,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
713,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
714,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
715,"USD $79,069","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,799.00 sq ft,Apartment
716,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
717,,"Sarjapur, Bangalore, Karnataka",,,,Unit
718,,"Volagerekallahalli, Bangalore, Karnataka",,,,Unit
719,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
720,"USD $59,900","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,795.00 sq ft,Apartment
721,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
722,,"T Nagar, Chennai, Tamil Nadu",,,,Unit
723,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
724,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
725,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
726,,"Egmore, Chennai, Tamil Nadu",,,,Unit
727,,"Perumbakkam, Chennai, Tamil Nadu",,,,Unit
728,,"Volagerekallahalli, Bangalore, Karnataka",,,,Unit
729,"USD $84,318","Madhyamgram, Kolkata, West Bengal",3,3,"1,315.00 sq ft",Apartment
730,"USD $77,393","Madhyamgram, Kolkata, West Bengal",3,2,"1,207.00 sq ft",Apartment
731,"USD $70,148","Madhyamgram, Kolkata, West Bengal",3,2,"1,094.00 sq ft",Apartment
732,,"Bopal, Ahmedabad, Gujarat",,,,Unit
733,,"CHI 5, Greater Noida, Uttar Pradesh",,,,Unit
734,,"Sector 144, Noida, Uttar Pradesh",,,,Unit
735,,"Sholinganallur, Chennai, Tamil Nadu",,,,Unit
736,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
737,,"Perungudi, Chennai, Tamil Nadu",,,,Unit
738,"USD $68,886","Rajarhat, Kolkata, West Bengal",2,2,954.00 sq ft,Apartment
739,,"Uttar Gauripur, Kolkata, West Bengal",,,,Unit
740,,"Rajarhat, Kolkata, West Bengal",,,,Unit
741,,"Thane West, Mumbai, Maharashtra",,,,Unit
742,,"Maheshwaram, Hyderabad, Andhra Pradesh",,,,Unit
743,"USD $232,451","Nanakramguda, Hyderabad, Andhra Pradesh",3,3,"1,980.00 sq ft",Apartment
744,,"Rajarhat, Kolkata, West Bengal",,,,Unit
745,"USD $186,218","Thanisandra, Bangalore, Karnataka",3,3,"1,574.00 sq ft",Apartment
746,"USD $260,619","Nanakramguda, Hyderabad, Andhra Pradesh",3,3,"2,220.00 sq ft",Apartment
747,"USD $161,019","Thanisandra, Bangalore, Karnataka",2,2,"1,361.00 sq ft",Apartment
748,,"Thane West, Mumbai, Maharashtra",,,,Unit
749,"USD $484,939","Sector 36A, Gurgaon, Haryana",3,3,"1,946.00 sq ft",Apartment
750,,"Shela, Ahmedabad, Gujarat",,,,Unit
751,"USD $57,516","Madhyamgram, Kolkata, West Bengal",2,2,897.00 sq ft,Apartment
752,"USD $85,729","Madhyamgram, Kolkata, West Bengal",3,3,"1,337.00 sq ft",Apartment
753,"USD $259,457","Nanakramguda, Hyderabad, Andhra Pradesh",3,3,"2,210.00 sq ft",Apartment
754,,"Madhyamgram, Kolkata, West Bengal",,,,Unit
755,,"Nanakramguda, Hyderabad, Andhra Pradesh",,,,Unit
756,,"Rajarhat, Kolkata, West Bengal",,,,Unit
757,,"New Alipore, Kolkata, West Bengal",,,,Unit
758,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
759,,"Near Nirma University On SG Highway, Ahmedabad, Gujarat",,,,Unit
760,,"Gulbai Tekra, Ahmedabad, Gujarat",,,,Unit
761,,"Sector 2 Sohna, Gurgaon, Haryana",,,,Unit
762,,"Mulund West, Mumbai, Maharashtra",,,,Unit
763,,"Porur, Chennai, Tamil Nadu",,,,Unit
764,"USD $724,883","Hebbal, Bangalore, Karnataka",4,4,"3,880.00 sq ft",Apartment
765,"USD $628,210","Hebbal, Bangalore, Karnataka",4,4,"3,335.00 sq ft",Apartment
766,,"Tathawade, Pune, Maharashtra",,,,Unit
767,"USD $97,942","Sector 92, Gurgaon, Haryana",2,2,955.00 sq ft,Apartment
768,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
769,"USD $126,472","Thanisandra, Bangalore, Karnataka",2,2,"1,069.00 sq ft",Apartment
770,"USD $78,716","Devanahalli, Bangalore, Karnataka",2,2,997.00 sq ft,Apartment
771,"USD $100,507","Devanahalli, Bangalore, Karnataka",3,2,"1,273.00 sq ft",Apartment
772,"USD $101,217","Devanahalli, Bangalore, Karnataka",3,2,"1,282.00 sq ft",Apartment
773,"USD $79,663","Devanahalli, Bangalore, Karnataka",2,2,"1,009.00 sq ft",Apartment
774,"USD $137,120","Thanisandra, Bangalore, Karnataka",2,2,"1,159.00 sq ft",Apartment
775,,"Sector 150, Noida, Uttar Pradesh",,,,Unit
776,"USD $115,744","Devanahalli, Bangalore, Karnataka",3,3,"1,466.00 sq ft",Apartment
777,"USD $127,892","Thanisandra, Bangalore, Karnataka",2,2,"1,081.00 sq ft",Apartment
778,,"Thanisandra, Bangalore, Karnataka",,,,Unit
779,,"Nanakramguda, Hyderabad, Andhra Pradesh",,,,Unit
780,"USD $118,271","Devanahalli, Bangalore, Karnataka",3,3,"1,498.00 sq ft",Apartment
781,,"Gunjur, Bangalore, Karnataka",,,,Unit
782,,"Sector 43, Noida, Uttar Pradesh",,,,Unit
783,,"Howrah, Kolkata, West Bengal",,,,Unit
784,,"Hadapsar, Pune, Maharashtra",,,,Unit
785,"USD $51,951","Devanahalli, Bangalore, Karnataka",1,1,658.00 sq ft,Apartment
786,"USD $118,609","Sector 92, Gurgaon, Haryana",3,3,"1,095.00 sq ft",Apartment
787,,"Sector 92, Gurgaon, Haryana",,,,Unit
788,,"Rajarhat, Kolkata, West Bengal",,,,Unit
789,"USD $203,800","Mogappair, Chennai, Tamil Nadu",3,3,"1,657.00 sq ft",Apartment
790,"USD $130,619","Mogappair, Chennai, Tamil Nadu",2,2,"1,062.00 sq ft",Apartment
791,"USD $230,982","Mogappair, Chennai, Tamil Nadu",3,3,"1,878.00 sq ft",Apartment
792,"USD $158,416","Mogappair, Chennai, Tamil Nadu",2,2,"1,288.00 sq ft",Apartment
793,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
794,,"Chromepet, Chennai, Tamil Nadu",,,,Unit
795,,"Chromepet, Chennai, Tamil Nadu",,,,Unit
796,"USD $77,672","Perungalathur, Chennai, Tamil Nadu",2,2,822.00 sq ft,Apartment
797,,"Kolapakkam, Chennai, Tamil Nadu",,,,Unit
798,,"Perungalathur, Chennai, Tamil Nadu",,,,Unit
799,,"East Tambaram, Chennai, Tamil Nadu",,,,Unit
800,"USD $202,473","Navallur, Chennai, Tamil Nadu",3,3,"2,178.00 sq ft",Apartment
801,"USD $162,937","Navallur, Chennai, Tamil Nadu",3,3,"1,765.00 sq ft",Apartment
802,"USD $116,165","Navallur, Chennai, Tamil Nadu",2,2,"1,298.00 sq ft",Apartment
803,,"Navallur, Chennai, Tamil Nadu",,,,Unit
804,,"Kharadi, Pune, Maharashtra",,,,Unit
805,"USD $141,372","Bachupally, Hyderabad, Andhra Pradesh",3,3,"1,617.00 sq ft",Apartment
806,"USD $411,754","Koramangala, Bangalore, Karnataka",4,4,"2,636.00 sq ft",Apartment
807,"USD $300,663","Koramangala, Bangalore, Karnataka",3,3,"1,908.00 sq ft",Apartment
808,,"Koramangala, Bangalore, Karnataka",,,,Unit
809,,"Horamavu, Bangalore, Karnataka",,,,Unit
810,"USD $161,739","Bachupally, Hyderabad, Andhra Pradesh",4,4,"1,914.00 sq ft",Apartment
811,,"Bachupally, Hyderabad, Andhra Pradesh",,,,Unit
812,,"Patancheru, Hyderabad, Andhra Pradesh",,,,Unit
813,,"Koramangala, Bangalore, Karnataka",,,,Unit
814,,"Sector 59, Gurgaon, Haryana",,,,Unit
815,,"Sector 92, Gurgaon, Haryana",,,,Unit
816,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
817,,"Sanath Nagar, Hyderabad, Andhra Pradesh",,,,Unit
818,,"Bachupally, Hyderabad, Andhra Pradesh",,,,Unit
819,,"Sector 37D, Gurgaon, Haryana",,,,Unit
820,,"Kamarhati on BT Road, Kolkata, West Bengal",,,,Unit
821,"USD $134,263","Cossipore, Kolkata, West Bengal",3,3,"1,420.00 sq ft",Apartment
822,"USD $147,500","Cossipore, Kolkata, West Bengal",3,3,"1,560.00 sq ft",Apartment
823,"USD $121,971","Cossipore, Kolkata, West Bengal",3,2,"1,290.00 sq ft",Apartment
824,"USD $177,757","Cossipore, Kolkata, West Bengal",4,4,"1,880.00 sq ft",Apartment
825,"USD $174,920","Cossipore, Kolkata, West Bengal",4,4,"1,850.00 sq ft",Apartment
826,,"Cossipore, Kolkata, West Bengal",,,,Unit
827,"USD $123,390","Cossipore, Kolkata, West Bengal",3,2,"1,305.00 sq ft",Apartment
828,,"Varthur, Bangalore, Karnataka",,,,Unit
829,,"Sector 89, Gurgaon, Haryana",,,,Unit
830,,"Sector 89, Gurgaon, Haryana",,,,Unit
831,,"Manjari, Pune, Maharashtra",,,,Unit
832,,"Bavdhan, Pune, Maharashtra",,,,Unit
833,,"Mukundapur, Kolkata, West Bengal",,,,Unit
834,,"Yelahanka, Bangalore, Karnataka",,,,Unit
835,,"Carmelaram, Bangalore, Karnataka",,,,Unit
836,,"Harlur, Bangalore, Karnataka",,,,Unit
837,,"Yeshwantpur, Bangalore, Karnataka",,,,Unit
838,,"Madhyamgram, Kolkata, West Bengal",,,,Unit
839,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
840,,"Serampore, Kolkata, West Bengal",,,,Unit
841,,"Konnagar, Kolkata, West Bengal",,,,Unit
842,,"Shela, Ahmedabad, Gujarat",,,,Unit
843,,"Sarjapur Road Wipro To Railway Crossing, Bangalore, Karnataka",,,,Unit
844,,"Baranagar, Kolkata, West Bengal",,,,Unit
845,,"Baranagar, Kolkata, West Bengal",,,,Unit
846,,"Sector 92, Gurgaon, Haryana",,,,Unit
847,,"Attibele, Bangalore, Karnataka",,,,Unit
848,"USD $203,667","Mogappair, Chennai, Tamil Nadu",3,3,"1,878.00 sq ft",Apartment
849,"USD $179,700","Mogappair, Chennai, Tamil Nadu",3,3,"1,657.00 sq ft",Apartment
850,"USD $120,748","Osman Nagar, Hyderabad, Andhra Pradesh",2,2,"1,400.00 sq ft",Apartment
851,,"Thane West, Mumbai, Maharashtra",,,,Unit
852,"USD $142,742","Osman Nagar, Hyderabad, Andhra Pradesh",3,3,"1,655.00 sq ft",Apartment
853,"USD $87,111","Osman Nagar, Hyderabad, Andhra Pradesh",2,2,"1,010.00 sq ft",Apartment
854,,"Sector 65, Gurgaon, Haryana",,,,Unit
855,,"Sarjapur, Bangalore, Karnataka",,,,Unit
856,"USD $148,779","Osman Nagar, Hyderabad, Andhra Pradesh",3,3,"1,725.00 sq ft",Apartment
857,,"Osman Nagar, Hyderabad, Andhra Pradesh",,,,Unit
858,,"Sector 33 Sohna, Gurgaon, Haryana",,,,Unit
859,,"JP Nagar Phase 5, Bangalore, Karnataka",,,,Unit
860,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
861,,"Sector 74, Gurgaon, Haryana",,,,Unit
862,,"Kannamangala, Bangalore, Karnataka",,,,Unit
863,,"Sanathal, Ahmedabad, Gujarat",,,,Unit
864,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
865,,"Gulbai Tekra, Ahmedabad, Gujarat",,,,Unit
866,,"Kannur on Thanisandra Main Road, Bangalore, Karnataka",,,,Unit
867,,"Begur, Bangalore, Karnataka",,,,Unit
868,,"Sector 65, Gurgaon, Haryana",,,,Unit
869,,"Mukundapur, Kolkata, West Bengal",,,,Unit
870,,"Sector 106, Gurgaon, Haryana",,,,Unit
871,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
872,,"Narayanapura on Hennur Main Road, Bangalore, Karnataka",,,,Unit
873,"USD $275,555","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,840.00 sq ft",Apartment
874,"USD $188,060","Vanagaram, Chennai, Tamil Nadu",3,3,"1,427.00 sq ft",Apartment
875,"USD $301,959","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,855.00 sq ft",Apartment
876,"USD $136,532","Vanagaram, Chennai, Tamil Nadu",2,2,"1,036.00 sq ft",Apartment
877,,"Gota, Ahmedabad, Gujarat",,,,Unit
878,,"Kasavanahalli, Bangalore, Karnataka",,,,Unit
879,,"Yelahanka, Bangalore, Karnataka",,,,Unit
880,,"Shela, Ahmedabad, Gujarat",,,,Unit
881,"USD $74,290","Mogappair, Chennai, Tamil Nadu",1,1,678.00 sq ft,Apartment
882,,"Sahakar Nagar, Bangalore, Karnataka",,,,Unit
883,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
884,,"Gota, Ahmedabad, Gujarat",,,,Unit
885,,"Kogilu, Bangalore, Karnataka",,,,Unit
886,,"Shilaj, Ahmedabad, Gujarat",,,,Unit
887,,"Manapakkam, Chennai, Tamil Nadu",,,,Unit
888,,"Manapakkam, Chennai, Tamil Nadu",,,,Unit
889,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
890,"USD $133,632","Vanagaram, Chennai, Tamil Nadu",2,2,"1,014.00 sq ft",Apartment
891,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
892,,"Chikkagubbi on Hennur Main Road, Bangalore, Karnataka",,,,Unit
893,,"Sector 88A, Gurgaon, Haryana",,,,Unit
894,,"Perungudi, Chennai, Tamil Nadu",,,,Unit
895,"USD $184,898","Vanagaram, Chennai, Tamil Nadu",3,3,"1,403.00 sq ft",Apartment
896,,"Kodigehalli, Bangalore, Karnataka",,,,Unit
897,,"Thirumazhisai, Chennai, Tamil Nadu",,,,Unit
898,,"Sonarpur, Kolkata, West Bengal",,,,Unit
899,"USD $184,766","Vanagaram, Chennai, Tamil Nadu",3,3,"1,402.00 sq ft",Apartment
900,,"Miyapur, Hyderabad, Andhra Pradesh",,,,Unit
901,,"Tangra, Kolkata, West Bengal",,,,Unit
902,"USD $133,501","Vanagaram, Chennai, Tamil Nadu",2,2,"1,013.00 sq ft",Apartment
903,,"Sopan Baug, Pune, Maharashtra",,,,Unit
904,"USD $228,209","Kokapet, Hyderabad, Andhra Pradesh",3,3,"1,905.00 sq ft",Apartment
905,,"Miyapur, Hyderabad, Andhra Pradesh",,,,Unit
906,,"Guduvancheri, Chennai, Tamil Nadu",,,,Unit
907,,"Sector 36A, Gurgaon, Haryana",,,,Unit
908,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
909,,"Begur, Bangalore, Karnataka",,,,Unit
910,"USD $623,742","Sector 36A, Gurgaon, Haryana",3,3,"2,503.00 sq ft",Apartment
911,,"Sector 102, Gurgaon, Haryana",,,,Unit
912,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
913,,"Perumbakkam, Chennai, Tamil Nadu",,,,Unit
914,,"Maheshwaram, Hyderabad, Andhra Pradesh",,,,Unit
915,,"Perungalathur, Chennai, Tamil Nadu",,,,Unit
916,,"Manapakkam, Chennai, Tamil Nadu",,,,Unit
917,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
918,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
919,,"Vanagaram, Chennai, Tamil Nadu",,,,Unit
920,,"Manapakkam, Chennai, Tamil Nadu",,,,Unit
921,,"Moti Nagar, Hyderabad, Andhra Pradesh",,,,Unit
922,,"Sector 102, Gurgaon, Haryana",,,,Unit
923,,"Pragathi Nagar Kukatpally, Hyderabad, Andhra Pradesh",,,,Unit
924,,"Manapakkam, Chennai, Tamil Nadu",,,,Unit
925,,"Kandivali East, Mumbai, Maharashtra",,,,Unit
926,"USD $545,317","Kondapur, Hyderabad, Andhra Pradesh",4,4,"3,350.00 sq ft",Apartment
927,"USD $253,965","Kokapet, Hyderabad, Andhra Pradesh",3,3,"2,120.00 sq ft",Apartment
928,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
929,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
930,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
931,,"Topsia, Kolkata, West Bengal",,,,Unit
932,"USD $372,769","Kondapur, Hyderabad, Andhra Pradesh",3,3,"2,290.00 sq ft",Apartment
933,,"Vanagaram, Chennai, Tamil Nadu",,,,Unit
934,,"Porur, Chennai, Tamil Nadu",,,,Unit
935,,"Sector 99A, Gurgaon, Haryana",,,,Unit
936,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
937,,"Vijayanagar, Bangalore, Karnataka",,,,Unit
938,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
939,,"Kogilu, Bangalore, Karnataka",,,,Unit
940,,"Egmore, Chennai, Tamil Nadu",,,,Unit
941,,"Sector 63, Gurgaon, Haryana",,,,Unit
942,,"Serampore, Kolkata, West Bengal",,,,Unit
943,,"Kokapet, Hyderabad, Andhra Pradesh",,,,Unit
944,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
945,,"Ballygunge, Kolkata, West Bengal",,,,Unit
946,,"Kannamangala, Bangalore, Karnataka",,,,Unit
947,,"Electronic City Phase 1, Bangalore, Karnataka",,,,Unit
948,"USD $94,683","Budigere Cross, Bangalore, Karnataka",3,3,"1,055.00 sq ft",Apartment
949,,"New Town, Kolkata, West Bengal",,,,Unit
950,,"Moti Nagar, Hyderabad, Andhra Pradesh",,,,Unit
951,,"Moti Nagar, Hyderabad, Andhra Pradesh",,,,Unit
952,"USD $79,695","Budigere Cross, Bangalore, Karnataka",2,2,888.00 sq ft,Apartment
953,,"Narendrapur, Kolkata, West Bengal",,,,Unit
954,"USD $66,862","Budigere Cross, Bangalore, Karnataka",2,2,745.00 sq ft,Apartment
955,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
956,,"Talaghattapura, Bangalore, Karnataka",,,,Unit
957,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
958,,"Chamrajpet, Bangalore, Karnataka",,,,Unit
959,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
960,,"Kelambakkam, Chennai, Tamil Nadu",,,,Unit
961,,"Kelambakkam, Chennai, Tamil Nadu",,,,Unit
962,,"Tangra, Kolkata, West Bengal",,,,Unit
963,,"Kelambakkam, Chennai, Tamil Nadu",,,,Unit
964,,"Salt Lake City, Kolkata, West Bengal",,,,Unit
965,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
966,,"Kannamangala, Bangalore, Karnataka",,,,Unit
967,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
968,,"Near Vaishno Devi Circle On SG Highway, Ahmedabad, Gujarat",,,,Unit
969,"USD $319,865","Kondapur, Hyderabad, Andhra Pradesh",3,3,"1,965.00 sq ft",Apartment
970,,"Kondapur, Hyderabad, Andhra Pradesh",,,,Unit
971,,"Shela, Ahmedabad, Gujarat",,,,Unit
972,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
973,,"Bachupally, Hyderabad, Andhra Pradesh",,,,Unit
974,,"Sector 36 Sohna, Gurgaon, Haryana",,,,Unit
975,,"Shela, Ahmedabad, Gujarat",,,,Unit
976,,"Sector 79, Gurgaon, Haryana",,,,Unit
977,,"Vastrapur, Ahmedabad, Gujarat",,,,Unit
978,,"Medavakkam, Chennai, Tamil Nadu",,,,Unit
979,"USD $70,675","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,938.00 sq ft,Apartment
980,,"Chamrajpet, Bangalore, Karnataka",,,,Unit
981,"USD $141,372","Begur, Bangalore, Karnataka",2,2,933.00 sq ft,Apartment
982,,"New Town, Kolkata, West Bengal",,,,Unit
983,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
984,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
985,,"Begur, Bangalore, Karnataka",,,,Unit
986,,"Yelahanka, Bangalore, Karnataka",,,,Unit
987,,"Yelahanka, Bangalore, Karnataka",,,,Unit
988,,"Mogappair, Chennai, Tamil Nadu",,,,Unit
989,,"Kanathur Reddikuppam, Chennai, Tamil Nadu",,,,Unit
990,,"Kanakapura Road Beyond Nice Ring Road, Bangalore, Karnataka",,,,Unit
991,,"Manikonda, Hyderabad, Andhra Pradesh",,,,Unit
992,,"Medavakkam, Chennai, Tamil Nadu",,,,Unit
993,,"Hafeezpet, Hyderabad, Andhra Pradesh",,,,Unit
994,,"Hafeezpet, Hyderabad, Andhra Pradesh",,,,Unit
995,,"Hafeezpet, Hyderabad, Andhra Pradesh",,,,Unit
996,,"Hafeezpet, Hyderabad, Andhra Pradesh",,,,Unit
997,,"Chamrajpet, Bangalore, Karnataka",,,,Unit
998,,"Hafeezpet, Hyderabad, Andhra Pradesh",,,,Unit
999,,"Kovur, Chennai, Tamil Nadu",,,,Unit
1000,"USD $170,121","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,"1,200.00 sq ft",Apartment
1001,"USD $90,768","Yelahanka, Bangalore, Karnataka",2,2,900.00 sq ft,Apartment
1002,"USD $170,971","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,"1,206.00 sq ft",Apartment
1003,"USD $239,445","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,689.00 sq ft",Apartment
1004,"USD $186,424","Bagaluru Near Yelahanka, Bangalore, Karnataka",2,2,"1,315.00 sq ft",Apartment
1005,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
1006,,"Navallur, Chennai, Tamil Nadu",,,,Unit
1007,"USD $109,779","Rajarhat, Kolkata, West Bengal",3,3,"1,400.00 sq ft",Apartment
1008,"USD $76,218","Rajarhat, Kolkata, West Bengal",2,2,972.00 sq ft,Apartment
1009,"USD $277,663","Sector 102, Gurgaon, Haryana",3,3,"1,852.00 sq ft",Apartment
1010,,"Sector 77, Gurgaon, Haryana",,,,Unit
1011,,"Gachibowli, Hyderabad, Andhra Pradesh",,,,Unit
1012,"USD $263,687","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,860.00 sq ft",Apartment
1013,,"Sector 36 Sohna, Gurgaon, Haryana",,,,Unit
1014,,"Kolapakkam, Chennai, Tamil Nadu",,,,Unit
1015,,"Mokila, Hyderabad, Andhra Pradesh",,,,Unit
1016,,"ITPL, Bangalore, Karnataka",,,,Unit
1017,"USD $244,123","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,722.00 sq ft",Apartment
1018,,"Sector 77, Gurgaon, Haryana",,,,Unit
1019,,"New Alipore, Kolkata, West Bengal",,,,Unit
1020,"USD $112,552","Yelahanka, Bangalore, Karnataka",3,3,"1,116.00 sq ft",Apartment
1021,"USD $96,223","Talaghattapura, Bangalore, Karnataka",2,2,945.00 sq ft,Apartment
1022,"USD $874,833","Hebbal, Bangalore, Karnataka",4,4,"5,260.00 sq ft",Apartment
1023,,"Bagaluru Near Yelahanka, Bangalore, Karnataka",,,,Unit
1024,,"Tellapur, Hyderabad, Andhra Pradesh",,,,Unit
1025,,"Budigere Cross, Bangalore, Karnataka",,,,Unit
1026,,"Kumbalgodu, Bangalore, Karnataka",,,,Unit
1027,,"Appa Junction Peerancheru, Hyderabad, Andhra Pradesh",,,,Unit
1028,"USD $106,904","Yelahanka, Bangalore, Karnataka",3,3,"1,060.00 sq ft",Apartment
1029,,"Beliaghata, Kolkata, West Bengal",,,,Unit
1030,,"Hinjewadi, Pune, Maharashtra",,,,Unit
1031,,"Bannerghatta, Bangalore, Karnataka",,,,Unit
1032,"USD $95,743","Rajarhat, Kolkata, West Bengal",3,3,"1,221.00 sq ft",Apartment
1033,,"Manikonda, Hyderabad, Andhra Pradesh",,,,Unit
1034,,"Tellapur, Hyderabad, Andhra Pradesh",,,,Unit
1035,,"Mukundapur, Kolkata, West Bengal",,,,Unit
1036,"USD $207,405","Bagaluru Near Yelahanka, Bangalore, Karnataka",3,3,"1,463.00 sq ft",Apartment
1037,,"Krishnarajapura, Bangalore, Karnataka",,,,Unit
1038,,"Chikkanayakanahalli at Off Sarjapur, Bangalore, Karnataka",,,,Unit
1039,,"Narsingi, Hyderabad, Andhra Pradesh",,,,Unit
1040,,"Varthur, Bangalore, Karnataka",,,,Unit
1041,,"Electronic City Phase 2, Bangalore, Karnataka",,,,Unit
1042,,"Bandlaguda Jagir, Hyderabad, Andhra Pradesh",,,,Unit
1043,"USD $141,364","Mogappair, Chennai, Tamil Nadu",2,2,"1,288.00 sq ft",Apartment
1044,,"Sector 86, Gurgaon, Haryana",,,,Unit
1045,,"Hebbal, Bangalore, Karnataka",,,,Unit
1046,,"Whitefield Hope Farm Junction, Bangalore, Karnataka",,,,Unit
1047,,"Sector 79, Gurgaon, Haryana",,,,Unit
1048,"USD $253,675","Sector 102, Gurgaon, Haryana",3,3,"1,692.00 sq ft",Apartment
1049,,"Nallagandla Gachibowli, Hyderabad, Andhra Pradesh",,,,Unit
1050,,"Devanahalli, Bangalore, Karnataka",,,,Unit
1051,,"Tollygunge, Kolkata, West Bengal",,,,Unit
1052,"USD $130,436","Talaghattapura, Bangalore, Karnataka",3,2,"1,281.00 sq ft",Apartment
