,Listing Price,Address,Number of Bedrooms,Number of Bathrooms,Area(sq-ft.),Property Type
167,"USD $604,105","Hebbal, Bangalore, Karnataka",3,3,"3,225.00 sq ft",Apartment
168,"USD $668,244","Hebbal, Bangalore, Karnataka",4,4,"3,895.00 sq ft",Apartment
169,"USD $89,988","Rajarhat, Kolkata, West Bengal",3,3,918.00 sq ft,Apartment
170,"USD $95,183","Rajarhat, Kolkata, West Bengal",3,3,971.00 sq ft,Apartment
171,"USD $115,008","Rajarhat, Kolkata, West Bengal",3,3,"1,186.00 sq ft",Apartment
172,"USD $61,677","Rajarhat, Kolkata, West Bengal",2,2,638.00 sq ft,Apartment
173,"USD $105,574","Rajarhat, Kolkata, West Bengal",3,3,"1,077.00 sq ft",Apartment
174,"USD $115,105","Rajarhat, Kolkata, West Bengal",3,3,"1,187.00 sq ft",Apartment
175,"USD $313,893","Padmanabha Nagar, Bangalore, Karnataka",4,4,"2,356.00 sq ft",Apartment
176,"USD $539,370","Sector 33 Sohna, Gurgaon, Haryana",4,4,"4,502.00 sq ft",House
177,"USD $349,716","Sector 33 Sohna, Gurgaon, Haryana",3,3,"2,919.00 sq ft",House
178,"USD $449,275","Sector 33 Sohna, Gurgaon, Haryana",3,3,"3,750.00 sq ft",House
179,"USD $145,116","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,275.00 sq ft",Apartment
180,"USD $223,080","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,960.00 sq ft",Apartment
181,"USD $202,138","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,776.00 sq ft",Apartment
182,"USD $195,764","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,720.00 sq ft",Apartment
183,"USD $158,279","Varthur, Bangalore, Karnataka",2,2,"1,387.00 sq ft",Apartment
184,"USD $152,753","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,275.00 sq ft",Apartment
185,"USD $212,777","Sector 33 Sohna, Gurgaon, Haryana",3,3,"1,776.00 sq ft",Apartment
186,"USD $144,367","Sector 33 Sohna, Gurgaon, Haryana",2,2,"1,205.00 sq ft",Apartment
187,"USD $212,255","Varthur, Bangalore, Karnataka",3,3,"1,860.00 sq ft",Apartment
